,gene_ids,feature_types
ATAD3C,ENSG00000215915,Gene Expression
ATAD3B,ENSG00000160072,Gene Expression
ATAD3A,ENSG00000197785,Gene Expression
TMEM240,ENSG00000205090,Gene Expression
SSU72,ENSG00000160075,Gene Expression
AL645728.1,ENSG00000215014,Gene Expression
FNDC10,ENSG00000228594,Gene Expression
AL691432.2,ENSG00000272106,Gene Expression
MIB2,ENSG00000197530,Gene Expression
MMP23B,ENSG00000189409,Gene Expression
CDK11B,ENSG00000248333,Gene Expression
FO704657.1,ENSG00000272004,Gene Expression
SLC35E2B,ENSG00000189339,Gene Expression
CDK11A,ENSG00000008128,Gene Expression
SLC35E2A,ENSG00000215790,Gene Expression
NADK,ENSG00000008130,Gene Expression
GNB1,ENSG00000078369,Gene Expression
AL109917.1,ENSG00000231050,Gene Expression
CALML6,ENSG00000169885,Gene Expression
TMEM52,ENSG00000178821,Gene Expression
CFAP74,ENSG00000142609,Gene Expression
AL391845.2,ENSG00000233542,Gene Expression
GABRD,ENSG00000187730,Gene Expression
AL391845.1,ENSG00000226969,Gene Expression
PRKCZ,ENSG00000067606,Gene Expression
AL590822.2,ENSG00000271806,Gene Expression
PRKCZ-AS1,ENSG00000182873,Gene Expression
FAAP20,ENSG00000162585,Gene Expression
AL590822.1,ENSG00000234396,Gene Expression
SKI,ENSG00000157933,Gene Expression
MORN1,ENSG00000116151,Gene Expression
RER1,ENSG00000157916,Gene Expression
PEX10,ENSG00000157911,Gene Expression
PLCH2,ENSG00000149527,Gene Expression
AL139246.1,ENSG00000224387,Gene Expression
AL139246.4,ENSG00000229393,Gene Expression
PANK4,ENSG00000157881,Gene Expression
HES5,ENSG00000197921,Gene Expression
AL139246.5,ENSG00000272449,Gene Expression
TNFRSF14-AS1,ENSG00000238164,Gene Expression
TNFRSF14,ENSG00000157873,Gene Expression
AL139246.3,ENSG00000228037,Gene Expression
FAM213B,ENSG00000157870,Gene Expression
MMEL1,ENSG00000142606,Gene Expression
AL831784.1,ENSG00000237058,Gene Expression
TTC34,ENSG00000215912,Gene Expression
AC242022.1,ENSG00000283259,Gene Expression
AL592464.2,ENSG00000233234,Gene Expression
AL592464.1,ENSG00000231630,Gene Expression
AL589702.1,ENSG00000284745,Gene Expression
ACTRT2,ENSG00000169717,Gene Expression
LINC00982,ENSG00000177133,Gene Expression
PRDM16,ENSG00000142611,Gene Expression
AL008733.1,ENSG00000226286,Gene Expression
AL590438.1,ENSG00000272235,Gene Expression
ARHGEF16,ENSG00000130762,Gene Expression
AL512413.1,ENSG00000272088,Gene Expression
MEGF6,ENSG00000162591,Gene Expression
AL513320.1,ENSG00000238260,Gene Expression
TPRG1L,ENSG00000158109,Gene Expression
WRAP73,ENSG00000116213,Gene Expression
TP73,ENSG00000078900,Gene Expression
AL136528.1,ENSG00000227589,Gene Expression
AL136528.2,ENSG00000235131,Gene Expression
CCDC27,ENSG00000162592,Gene Expression
SMIM1,ENSG00000235169,Gene Expression
LRRC47,ENSG00000130764,Gene Expression
AL365330.1,ENSG00000272153,Gene Expression
CEP104,ENSG00000116198,Gene Expression
DFFB,ENSG00000169598,Gene Expression
C1orf174,ENSG00000198912,Gene Expression
LINC01134,ENSG00000236423,Gene Expression
LINC01346,ENSG00000233304,Gene Expression
LINC01345,ENSG00000226374,Gene Expression
AL805961.1,ENSG00000284668,Gene Expression
AL805961.2,ENSG00000284703,Gene Expression
LINC01777,ENSG00000235054,Gene Expression
AL355602.1,ENSG00000284694,Gene Expression
Z98747.1,ENSG00000227169,Gene Expression
LINC01646,ENSG00000232596,Gene Expression
AJAP1,ENSG00000196581,Gene Expression
BX005132.2,ENSG00000284739,Gene Expression
BX005132.1,ENSG00000284674,Gene Expression
AL691497.1,ENSG00000231510,Gene Expression
AL139823.1,ENSG00000284616,Gene Expression
Z98259.3,ENSG00000284692,Gene Expression
Z98259.2,ENSG00000284666,Gene Expression
Z98259.1,ENSG00000260972,Gene Expression
AL365255.1,ENSG00000236948,Gene Expression
NPHP4,ENSG00000131697,Gene Expression
KCNAB2,ENSG00000069424,Gene Expression
CHD5,ENSG00000116254,Gene Expression
RPL22,ENSG00000116251,Gene Expression
AL031847.1,ENSG00000226944,Gene Expression
RNF207,ENSG00000158286,Gene Expression
ICMT,ENSG00000116237,Gene Expression
LINC00337,ENSG00000225077,Gene Expression
HES3,ENSG00000173673,Gene Expression
GPR153,ENSG00000158292,Gene Expression
ACOT7,ENSG00000097021,Gene Expression
AL031848.2,ENSG00000271746,Gene Expression
HES2,ENSG00000069812,Gene Expression
ESPN,ENSG00000187017,Gene Expression
AL031848.1,ENSG00000231868,Gene Expression
TNFRSF25,ENSG00000215788,Gene Expression
PLEKHG5,ENSG00000171680,Gene Expression
NOL9,ENSG00000162408,Gene Expression
TAS1R1,ENSG00000173662,Gene Expression
ZBTB48,ENSG00000204859,Gene Expression
KLHL21,ENSG00000162413,Gene Expression
PHF13,ENSG00000116273,Gene Expression
THAP3,ENSG00000041988,Gene Expression
DNAJC11,ENSG00000007923,Gene Expression
LINC01672,ENSG00000228750,Gene Expression
AL591163.1,ENSG00000284744,Gene Expression
CAMTA1-DT,ENSG00000237436,Gene Expression
CAMTA1,ENSG00000171735,Gene Expression
AL512330.1,ENSG00000237365,Gene Expression
Z97987.1,ENSG00000237728,Gene Expression
AL365194.1,ENSG00000225126,Gene Expression
AL359881.3,ENSG00000270171,Gene Expression
AL359881.2,ENSG00000270035,Gene Expression
AL359881.1,ENSG00000269978,Gene Expression
VAMP3,ENSG00000049245,Gene Expression
PER3,ENSG00000049246,Gene Expression
Z98884.1,ENSG00000236266,Gene Expression
UTS2,ENSG00000049247,Gene Expression
TNFRSF9,ENSG00000049249,Gene Expression
PARK7,ENSG00000116288,Gene Expression
AL034417.4,ENSG00000284747,Gene Expression
AL034417.3,ENSG00000284716,Gene Expression
ERRFI1,ENSG00000116285,Gene Expression
AL034417.2,ENSG00000238290,Gene Expression
LINC01714,ENSG00000227634,Gene Expression
AL358876.2,ENSG00000233645,Gene Expression
SLC45A1,ENSG00000162426,Gene Expression
RERE,ENSG00000142599,Gene Expression
AL096855.1,ENSG00000232912,Gene Expression
AL357552.2,ENSG00000228423,Gene Expression
ENO1,ENSG00000074800,Gene Expression
ENO1-AS1,ENSG00000230679,Gene Expression
CA6,ENSG00000131686,Gene Expression
SLC2A7,ENSG00000197241,Gene Expression
SLC2A5,ENSG00000142583,Gene Expression
GPR157,ENSG00000180758,Gene Expression
MIR34AHG,ENSG00000228526,Gene Expression
LINC01759,ENSG00000234546,Gene Expression
H6PD,ENSG00000049239,Gene Expression
SPSB1,ENSG00000171621,Gene Expression
BX323043.1,ENSG00000284652,Gene Expression
AL928921.2,ENSG00000284693,Gene Expression
AL928921.1,ENSG00000235263,Gene Expression
SLC25A33,ENSG00000171612,Gene Expression
TMEM201,ENSG00000188807,Gene Expression
PIK3CD,ENSG00000171608,Gene Expression
PIK3CD-AS1,ENSG00000179840,Gene Expression
PIK3CD-AS2,ENSG00000231789,Gene Expression
CLSTN1,ENSG00000171603,Gene Expression
CTNNBIP1,ENSG00000178585,Gene Expression
AL357140.1,ENSG00000223989,Gene Expression
LZIC,ENSG00000162441,Gene Expression
NMNAT1,ENSG00000173614,Gene Expression
RBP7,ENSG00000162444,Gene Expression
UBE4B,ENSG00000130939,Gene Expression
KIF1B,ENSG00000054523,Gene Expression
AL139424.3,ENSG00000284735,Gene Expression
AL139424.2,ENSG00000284642,Gene Expression
PGD,ENSG00000142657,Gene Expression
AL139424.1,ENSG00000271989,Gene Expression
CENPS-CORT,ENSG00000251503,Gene Expression
CENPS,ENSG00000175279,Gene Expression
CORT,ENSG00000241563,Gene Expression
DFFA,ENSG00000160049,Gene Expression
AL354956.1,ENSG00000203469,Gene Expression
PEX14,ENSG00000142655,Gene Expression
CASZ1,ENSG00000130940,Gene Expression
AL139423.1,ENSG00000272078,Gene Expression
C1orf127,ENSG00000175262,Gene Expression
TARDBP,ENSG00000120948,Gene Expression
AL109811.4,ENSG00000277726,Gene Expression
MASP2,ENSG00000009724,Gene Expression
AL109811.3,ENSG00000271895,Gene Expression
SRM,ENSG00000116649,Gene Expression
EXOSC10,ENSG00000171824,Gene Expression
AL109811.1,ENSG00000226849,Gene Expression
AL109811.2,ENSG00000230337,Gene Expression
MTOR,ENSG00000198793,Gene Expression
MTOR-AS1,ENSG00000225602,Gene Expression
ANGPTL7,ENSG00000171819,Gene Expression
UBIAD1,ENSG00000120942,Gene Expression
AL031291.1,ENSG00000284646,Gene Expression
DISP3,ENSG00000204624,Gene Expression
LINC01647,ENSG00000235643,Gene Expression
AL031731.1,ENSG00000284708,Gene Expression
FBXO2,ENSG00000116661,Gene Expression
FBXO44,ENSG00000132879,Gene Expression
FBXO6,ENSG00000116663,Gene Expression
MAD2L2,ENSG00000116670,Gene Expression
DRAXIN,ENSG00000162490,Gene Expression
AGTRAP,ENSG00000177674,Gene Expression
C1orf167,ENSG00000215910,Gene Expression
AL953897.1,ENSG00000177553,Gene Expression
MTHFR,ENSG00000177000,Gene Expression
CLCN6,ENSG00000011021,Gene Expression
NPPA-AS1,ENSG00000242349,Gene Expression
NPPA,ENSG00000175206,Gene Expression
NPPB,ENSG00000120937,Gene Expression
KIAA2013,ENSG00000116685,Gene Expression
PLOD1,ENSG00000083444,Gene Expression
MFN2,ENSG00000116688,Gene Expression
MIIP,ENSG00000116691,Gene Expression
TNFRSF8,ENSG00000120949,Gene Expression
TNFRSF1B,ENSG00000028137,Gene Expression
VPS13D,ENSG00000048707,Gene Expression
AC243836.1,ENSG00000229484,Gene Expression
DHRS3,ENSG00000162496,Gene Expression
AC254633.1,ENSG00000272482,Gene Expression
AADACL4,ENSG00000204518,Gene Expression
AADACL3,ENSG00000188984,Gene Expression
C1orf158,ENSG00000157330,Gene Expression
PRAMEF12,ENSG00000116726,Gene Expression
PRAMEF1,ENSG00000116721,Gene Expression
LINC01784,ENSG00000228338,Gene Expression
PRAMEF11,ENSG00000239810,Gene Expression
HNRNPCL1,ENSG00000179172,Gene Expression
PRAMEF2,ENSG00000120952,Gene Expression
PRAMEF4,ENSG00000243073,Gene Expression
PRAMEF10,ENSG00000187545,Gene Expression
PRAMEF7,ENSG00000204510,Gene Expression
PRAMEF6,ENSG00000232423,Gene Expression
PRAMEF27,ENSG00000274764,Gene Expression
HNRNPCL3,ENSG00000277058,Gene Expression
PRAMEF25,ENSG00000229571,Gene Expression
HNRNPCL2,ENSG00000275774,Gene Expression
AC245056.1,ENSG00000233336,Gene Expression
PRAMEF26,ENSG00000280267,Gene Expression
HNRNPCL4,ENSG00000179412,Gene Expression
PRAMEF9,ENSG00000204505,Gene Expression
PRAMEF13,ENSG00000279169,Gene Expression
PRAMEF18,ENSG00000279804,Gene Expression
PRAMEF5,ENSG00000270601,Gene Expression
PRAMEF8,ENSG00000182330,Gene Expression
PRAMEF33,ENSG00000237700,Gene Expression
PRAMEF15,ENSG00000204501,Gene Expression
AC243961.1,ENSG00000228229,Gene Expression
PRAMEF14,ENSG00000204481,Gene Expression
PRAMEF19,ENSG00000204480,Gene Expression
PRAMEF17,ENSG00000204479,Gene Expression
PRAMEF20,ENSG00000204478,Gene Expression
LRRC38,ENSG00000162494,Gene Expression
AL354712.1,ENSG00000259961,Gene Expression
PDPN,ENSG00000162493,Gene Expression
AL359771.1,ENSG00000237445,Gene Expression
PRDM2,ENSG00000116731,Gene Expression
KAZN,ENSG00000189337,Gene Expression
AL357873.1,ENSG00000231606,Gene Expression
KAZN-AS1,ENSG00000234593,Gene Expression
TMEM51-AS1,ENSG00000175147,Gene Expression
TMEM51,ENSG00000171729,Gene Expression
C1orf195,ENSG00000204464,Gene Expression
FHAD1,ENSG00000142621,Gene Expression
AL031283.2,ENSG00000233485,Gene Expression
AL031283.3,ENSG00000236045,Gene Expression
AL031283.1,ENSG00000228140,Gene Expression
EFHD2,ENSG00000142634,Gene Expression
CTRC,ENSG00000162438,Gene Expression
CELA2A,ENSG00000142615,Gene Expression
CELA2B,ENSG00000215704,Gene Expression
CASP9,ENSG00000132906,Gene Expression
DNAJC16,ENSG00000116138,Gene Expression
AL121992.3,ENSG00000272510,Gene Expression
AGMAT,ENSG00000116771,Gene Expression
AL121992.1,ENSG00000237301,Gene Expression
DDI2,ENSG00000197312,Gene Expression
RSC1A1,ENSG00000215695,Gene Expression
AL121992.2,ENSG00000271742,Gene Expression
PLEKHM2,ENSG00000116786,Gene Expression
AL450998.3,ENSG00000237938,Gene Expression
SLC25A34,ENSG00000162461,Gene Expression
SLC25A34-AS1,ENSG00000224459,Gene Expression
TMEM82,ENSG00000162460,Gene Expression
FBLIM1,ENSG00000162458,Gene Expression
UQCRHL,ENSG00000233954,Gene Expression
AL450998.2,ENSG00000179743,Gene Expression
SPEN,ENSG00000065526,Gene Expression
ZBTB17,ENSG00000116809,Gene Expression
SRARP,ENSG00000183888,Gene Expression
AL355994.3,ENSG00000233078,Gene Expression
HSPB7,ENSG00000173641,Gene Expression
CLCNKA,ENSG00000186510,Gene Expression
CLCNKB,ENSG00000184908,Gene Expression
FAM131C,ENSG00000185519,Gene Expression
EPHA2,ENSG00000142627,Gene Expression
AL451042.2,ENSG00000227959,Gene Expression
AL451042.1,ENSG00000224621,Gene Expression
ARHGEF19-AS1,ENSG00000234166,Gene Expression
ARHGEF19,ENSG00000142632,Gene Expression
CPLANE2,ENSG00000132881,Gene Expression
FBXO42,ENSG00000037637,Gene Expression
SZRD1,ENSG00000055070,Gene Expression
SPATA21,ENSG00000187144,Gene Expression
NECAP2,ENSG00000157191,Gene Expression
LINC01772,ENSG00000226029,Gene Expression
AL137802.2,ENSG00000261135,Gene Expression
AL137802.1,ENSG00000224174,Gene Expression
LINC01783,ENSG00000233421,Gene Expression
NBPF1,ENSG00000219481,Gene Expression
AL137798.1,ENSG00000271732,Gene Expression
AL137798.2,ENSG00000282143,Gene Expression
AL021920.1,ENSG00000279151,Gene Expression
AL021920.3,ENSG00000282740,Gene Expression
CROCC,ENSG00000058453,Gene Expression
BX284668.1,ENSG00000223643,Gene Expression
BX284668.2,ENSG00000228549,Gene Expression
BX284668.5,ENSG00000238142,Gene Expression
BX284668.6,ENSG00000272426,Gene Expression
MFAP2,ENSG00000117122,Gene Expression
AL049569.1,ENSG00000226526,Gene Expression
ATP13A2,ENSG00000159363,Gene Expression
SDHB,ENSG00000117118,Gene Expression
PADI2,ENSG00000117115,Gene Expression
AL590644.1,ENSG00000204362,Gene Expression
AL590644.3,ENSG00000282843,Gene Expression
PADI1,ENSG00000142623,Gene Expression
PADI3,ENSG00000142619,Gene Expression
PADI4,ENSG00000159339,Gene Expression
PADI6,ENSG00000276747,Gene Expression
AC004824.1,ENSG00000227751,Gene Expression
RCC2,ENSG00000179051,Gene Expression
ARHGEF10L,ENSG00000074964,Gene Expression
AL136529.1,ENSG00000236648,Gene Expression
ACTL8,ENSG00000117148,Gene Expression
AL357509.1,ENSG00000284653,Gene Expression
LINC01654,ENSG00000261781,Gene Expression
IGSF21,ENSG00000117154,Gene Expression
IGSF21-AS1,ENSG00000230035,Gene Expression
AL591896.1,ENSG00000225387,Gene Expression
KLHDC7A,ENSG00000179023,Gene Expression
PAX7,ENSG00000009709,Gene Expression
TAS1R2,ENSG00000179002,Gene Expression
AL080251.1,ENSG00000255275,Gene Expression
ALDH4A1,ENSG00000159423,Gene Expression
IFFO2,ENSG00000169991,Gene Expression
UBR4,ENSG00000127481,Gene Expression
AL035413.1,ENSG00000230424,Gene Expression
EMC1,ENSG00000127463,Gene Expression
MRTO4,ENSG00000053372,Gene Expression
AKR7A3,ENSG00000162482,Gene Expression
AKR7A2,ENSG00000053371,Gene Expression
PQLC2,ENSG00000040487,Gene Expression
CAPZB,ENSG00000077549,Gene Expression
AL031727.2,ENSG00000235185,Gene Expression
MINOS1,ENSG00000173436,Gene Expression
NBL1,ENSG00000158747,Gene Expression
MINOS1-NBL1,ENSG00000270136,Gene Expression
HTR6,ENSG00000158748,Gene Expression
TMCO4,ENSG00000162542,Gene Expression
RNF186,ENSG00000178828,Gene Expression
AL391883.1,ENSG00000235434,Gene Expression
OTUD3,ENSG00000169914,Gene Expression
PLA2G2E,ENSG00000188784,Gene Expression
PLA2G2A,ENSG00000188257,Gene Expression
PLA2G5,ENSG00000127472,Gene Expression
PLA2G2D,ENSG00000117215,Gene Expression
PLA2G2F,ENSG00000158786,Gene Expression
Z98257.1,ENSG00000227066,Gene Expression
PLA2G2C,ENSG00000187980,Gene Expression
UBXN10-AS1,ENSG00000225986,Gene Expression
UBXN10,ENSG00000162543,Gene Expression
LINC01757,ENSG00000228105,Gene Expression
Z98257.2,ENSG00000284710,Gene Expression
VWA5B1,ENSG00000158816,Gene Expression
AL020998.1,ENSG00000226664,Gene Expression
LINC01141,ENSG00000236963,Gene Expression
AL139254.1,ENSG00000226487,Gene Expression
AL139254.2,ENSG00000284641,Gene Expression
AL139254.3,ENSG00000284743,Gene Expression
CAMK2N1,ENSG00000162545,Gene Expression
MUL1,ENSG00000090432,Gene Expression
FAM43B,ENSG00000183114,Gene Expression
CDA,ENSG00000158825,Gene Expression
PINK1,ENSG00000158828,Gene Expression
PINK1-AS,ENSG00000117242,Gene Expression
DDOST,ENSG00000244038,Gene Expression
KIF17,ENSG00000117245,Gene Expression
SH2D5,ENSG00000189410,Gene Expression
AL663074.1,ENSG00000233069,Gene Expression
HP1BP3,ENSG00000127483,Gene Expression
EIF4G3,ENSG00000075151,Gene Expression
ECE1,ENSG00000117298,Gene Expression
AL031005.1,ENSG00000236936,Gene Expression
AL031728.1,ENSG00000231105,Gene Expression
AL592309.2,ENSG00000236009,Gene Expression
NBPF3,ENSG00000142794,Gene Expression
ALPL,ENSG00000162551,Gene Expression
AL359815.1,ENSG00000233431,Gene Expression
RAP1GAP,ENSG00000076864,Gene Expression
USP48,ENSG00000090686,Gene Expression
LDLRAD2,ENSG00000187942,Gene Expression
HSPG2,ENSG00000142798,Gene Expression
CELA3B,ENSG00000219073,Gene Expression
CELA3A,ENSG00000142789,Gene Expression
LINC01635,ENSG00000228397,Gene Expression
CDC42,ENSG00000070831,Gene Expression
AL031281.2,ENSG00000271840,Gene Expression
WNT4,ENSG00000162552,Gene Expression
ZBTB40,ENSG00000184677,Gene Expression
EPHA8,ENSG00000070886,Gene Expression
C1QA,ENSG00000173372,Gene Expression
C1QC,ENSG00000159189,Gene Expression
C1QB,ENSG00000173369,Gene Expression
EPHB2,ENSG00000133216,Gene Expression
AL512444.1,ENSG00000225952,Gene Expression
LACTBL1,ENSG00000215906,Gene Expression
TEX46,ENSG00000227868,Gene Expression
KDM1A,ENSG00000004487,Gene Expression
AL031428.1,ENSG00000240553,Gene Expression
LUZP1,ENSG00000169641,Gene Expression
HTR1D,ENSG00000179546,Gene Expression
LINC01355,ENSG00000261326,Gene Expression
AL109936.6,ENSG00000284726,Gene Expression
HNRNPR,ENSG00000125944,Gene Expression
ZNF436,ENSG00000125945,Gene Expression
ZNF436-AS1,ENSG00000249087,Gene Expression
AL109936.2,ENSG00000271420,Gene Expression
TCEA3,ENSG00000204219,Gene Expression
ASAP3,ENSG00000088280,Gene Expression
E2F2,ENSG00000007968,Gene Expression
AL021154.1,ENSG00000235052,Gene Expression
ID3,ENSG00000117318,Gene Expression
MDS2,ENSG00000197880,Gene Expression
RPL11,ENSG00000142676,Gene Expression
ELOA,ENSG00000011007,Gene Expression
ELOA-AS1,ENSG00000236810,Gene Expression
PITHD1,ENSG00000057757,Gene Expression
LYPLA2,ENSG00000011009,Gene Expression
GALE,ENSG00000117308,Gene Expression
HMGCL,ENSG00000117305,Gene Expression
FUCA1,ENSG00000179163,Gene Expression
CNR2,ENSG00000188822,Gene Expression
AL590609.3,ENSG00000232557,Gene Expression
PNRC2,ENSG00000189266,Gene Expression
SRSF10,ENSG00000188529,Gene Expression
AL591178.1,ENSG00000225315,Gene Expression
MYOM3,ENSG00000142661,Gene Expression
AL591178.2,ENSG00000230703,Gene Expression
IL22RA1,ENSG00000142677,Gene Expression
IFNLR1,ENSG00000185436,Gene Expression
AL590683.1,ENSG00000230023,Gene Expression
AL138902.1,ENSG00000232298,Gene Expression
GRHL3,ENSG00000158055,Gene Expression
STPG1,ENSG00000001460,Gene Expression
NIPAL3,ENSG00000001461,Gene Expression
RCAN3,ENSG00000117602,Gene Expression
AL445686.2,ENSG00000264443,Gene Expression
NCMAP,ENSG00000184454,Gene Expression
SRRM1,ENSG00000133226,Gene Expression
AL445648.1,ENSG00000284699,Gene Expression
CLIC4,ENSG00000169504,Gene Expression
RUNX3,ENSG00000020633,Gene Expression
AL445471.1,ENSG00000229162,Gene Expression
AL445471.2,ENSG00000261025,Gene Expression
AL050344.1,ENSG00000233755,Gene Expression
AL031432.1,ENSG00000231953,Gene Expression
SYF2,ENSG00000117614,Gene Expression
AL031432.5,ENSG00000284657,Gene Expression
RSRP1,ENSG00000117616,Gene Expression
AL031432.3,ENSG00000272432,Gene Expression
RHD,ENSG00000187010,Gene Expression
TMEM50A,ENSG00000183726,Gene Expression
RHCE,ENSG00000188672,Gene Expression
MACO1,ENSG00000204178,Gene Expression
LDLRAP1,ENSG00000157978,Gene Expression
AL606491.1,ENSG00000225643,Gene Expression
MAN1C1,ENSG00000117643,Gene Expression
AL031280.1,ENSG00000233478,Gene Expression
SELENON,ENSG00000162430,Gene Expression
AL020996.2,ENSG00000255054,Gene Expression
AL020996.1,ENSG00000228172,Gene Expression
MTFR1L,ENSG00000117640,Gene Expression
AL020996.3,ENSG00000272478,Gene Expression
AUNIP,ENSG00000127423,Gene Expression
AL033528.2,ENSG00000236528,Gene Expression
PAQR7,ENSG00000182749,Gene Expression
STMN1,ENSG00000117632,Gene Expression
PAFAH2,ENSG00000158006,Gene Expression
EXTL1,ENSG00000158008,Gene Expression
SLC30A2,ENSG00000158014,Gene Expression
TRIM63,ENSG00000158022,Gene Expression
PDIK1L,ENSG00000175087,Gene Expression
FAM110D,ENSG00000197245,Gene Expression
C1orf232,ENSG00000282872,Gene Expression
AL391650.1,ENSG00000236782,Gene Expression
ZNF593,ENSG00000142684,Gene Expression
CNKSR1,ENSG00000142675,Gene Expression
CATSPER4,ENSG00000188782,Gene Expression
CEP85,ENSG00000130695,Gene Expression
SH3BGRL3,ENSG00000142669,Gene Expression
UBXN11,ENSG00000158062,Gene Expression
CD52,ENSG00000169442,Gene Expression
CRYBG2,ENSG00000176092,Gene Expression
ZNF683,ENSG00000176083,Gene Expression
LIN28A,ENSG00000131914,Gene Expression
DHDDS,ENSG00000117682,Gene Expression
AL513365.2,ENSG00000225891,Gene Expression
HMGN2,ENSG00000198830,Gene Expression
RPS6KA1,ENSG00000117676,Gene Expression
AL512408.1,ENSG00000260063,Gene Expression
ARID1A,ENSG00000117713,Gene Expression
PIGV,ENSG00000060642,Gene Expression
ZDHHC18,ENSG00000204160,Gene Expression
SFN,ENSG00000175793,Gene Expression
AL034380.1,ENSG00000226698,Gene Expression
GPN2,ENSG00000142751,Gene Expression
GPATCH3,ENSG00000198746,Gene Expression
NUDC,ENSG00000090273,Gene Expression
NR0B2,ENSG00000131910,Gene Expression
KDF1,ENSG00000175707,Gene Expression
TRNP1,ENSG00000253368,Gene Expression
TENT5B,ENSG00000158246,Gene Expression
SLC9A1,ENSG00000090020,Gene Expression
AL590640.1,ENSG00000224311,Gene Expression
WDTC1,ENSG00000142784,Gene Expression
TMEM222,ENSG00000186501,Gene Expression
SYTL1,ENSG00000142765,Gene Expression
MAP3K6,ENSG00000142733,Gene Expression
FCN3,ENSG00000142748,Gene Expression
CD164L2,ENSG00000174950,Gene Expression
GPR3,ENSG00000181773,Gene Expression
WASF2,ENSG00000158195,Gene Expression
FO393419.2,ENSG00000241169,Gene Expression
BX293535.1,ENSG00000237429,Gene Expression
AHDC1,ENSG00000126705,Gene Expression
FGR,ENSG00000000938,Gene Expression
LINC02574,ENSG00000233975,Gene Expression
IFI6,ENSG00000126709,Gene Expression
AL445490.1,ENSG00000225886,Gene Expression
FAM76A,ENSG00000009780,Gene Expression
STX12,ENSG00000117758,Gene Expression
PPP1R8,ENSG00000117751,Gene Expression
THEMIS2,ENSG00000130775,Gene Expression
RPA2,ENSG00000117748,Gene Expression
SMPDL3B,ENSG00000130768,Gene Expression
AL512288.1,ENSG00000227050,Gene Expression
XKR8,ENSG00000158156,Gene Expression
EYA3,ENSG00000158161,Gene Expression
PTAFR,ENSG00000169403,Gene Expression
DNAJC8,ENSG00000126698,Gene Expression
ATP5IF1,ENSG00000130770,Gene Expression
AL353622.1,ENSG00000270605,Gene Expression
AL353622.2,ENSG00000271398,Gene Expression
SESN2,ENSG00000130766,Gene Expression
MED18,ENSG00000130772,Gene Expression
PHACTR4,ENSG00000204138,Gene Expression
RCC1,ENSG00000180198,Gene Expression
TRNAU1AP,ENSG00000180098,Gene Expression
SNHG12,ENSG00000197989,Gene Expression
TAF12,ENSG00000120656,Gene Expression
RAB42,ENSG00000188060,Gene Expression
