,gene_ids,n_cells
KCNAB2,ENSG00000069424,261
RPL22,ENSG00000116251,2180
RNF207,ENSG00000158286,11
ICMT,ENSG00000116237,67
GPR153,ENSG00000158292,4
ACOT7,ENSG00000097021,27
RP1-202O8.3,ENSG00000271746,5
ESPN,ENSG00000187017,5
TNFRSF25,ENSG00000215788,170
PLEKHG5,ENSG00000171680,10
NOL9,ENSG00000162408,42
ZBTB48,ENSG00000204859,64
KLHL21,ENSG00000162413,38
PHF13,ENSG00000116273,22
THAP3,ENSG00000041988,81
DNAJC11,ENSG00000007923,43
RP11-312B8.1,ENSG00000237436,3
CAMTA1,ENSG00000171735,241
VAMP3,ENSG00000049245,196
PER3,ENSG00000049246,26
UTS2,ENSG00000049247,12
TNFRSF9,ENSG00000049249,11
PARK7,ENSG00000116288,1311
SLC45A1,ENSG00000162426,3
RERE,ENSG00000142599,127
RP5-1115A15.1,ENSG00000232912,4
ENO1,ENSG00000074800,1514
ENO1-AS1,ENSG00000230679,13
CA6,ENSG00000131686,4
SLC2A5,ENSG00000142583,4
GPR157,ENSG00000180758,3
H6PD,ENSG00000049239,51
SPSB1,ENSG00000171621,12
SLC25A33,ENSG00000171612,98
TMEM201,ENSG00000188807,8
PIK3CD,ENSG00000171608,232
C1orf200,ENSG00000179840,6
RP11-558F24.4,ENSG00000231789,5
CLSTN1,ENSG00000171603,143
CTNNBIP1,ENSG00000178585,169
LZIC,ENSG00000162441,144
NMNAT1,ENSG00000173614,26
RBP7,ENSG00000162444,184
UBE4B,ENSG00000130939,75
KIF1B,ENSG00000054523,25
PGD,ENSG00000142657,318
APITD1,ENSG00000175279,34
DFFA,ENSG00000160049,116
PEX14,ENSG00000142655,51
CASZ1,ENSG00000130940,7
TARDBP,ENSG00000120948,181
RP4-635E18.8,ENSG00000271895,6
SRM,ENSG00000116649,355
EXOSC10,ENSG00000171824,97
MTOR,ENSG00000198793,35
UBIAD1,ENSG00000120942,111
FBXO2,ENSG00000116661,16
FBXO44,ENSG00000132879,83
FBXO6,ENSG00000116663,147
MAD2L2,ENSG00000116670,220
DRAXIN,ENSG00000162490,7
AGTRAP,ENSG00000177674,408
MTHFR,ENSG00000177000,60
CLCN6,ENSG00000011021,29
NPPA-AS1,ENSG00000242349,3
KIAA2013,ENSG00000116685,62
PLOD1,ENSG00000083444,29
MFN2,ENSG00000116688,65
MIIP,ENSG00000116691,165
TNFRSF8,ENSG00000120949,33
TNFRSF1B,ENSG00000028137,379
VPS13D,ENSG00000048707,57
DHRS3,ENSG00000162496,58
PRDM2,ENSG00000116731,177
TMEM51,ENSG00000171729,9
RP3-467K16.4,ENSG00000228140,5
EFHD2,ENSG00000142634,523
CASP9,ENSG00000132906,37
DNAJC16,ENSG00000116138,26
AGMAT,ENSG00000116771,43
DDI2,ENSG00000197312,37
PLEKHM2,ENSG00000116786,43
FBLIM1,ENSG00000162458,26
RP11-169K16.9,ENSG00000179743,143
SPEN,ENSG00000065526,74
ZBTB17,ENSG00000116809,47
ARHGEF19,ENSG00000142632,14
RSG1,ENSG00000132881,7
FBXO42,ENSG00000037637,65
SZRD1,ENSG00000055070,237
SPATA21,ENSG00000187144,4
NECAP2,ENSG00000157191,490
RP4-798A10.2,ENSG00000226029,9
RP4-798A10.7,ENSG00000261135,3
RP4-798A10.4,ENSG00000224174,5
NBPF1,ENSG00000219481,40
CROCCP2,ENSG00000215908,127
CROCC,ENSG00000058453,24
RP11-108M9.4,ENSG00000238142,119
RP11-108M9.6,ENSG00000272426,25
ATP13A2,ENSG00000159363,65
SDHB,ENSG00000117118,581
PADI2,ENSG00000117115,3
PADI4,ENSG00000159339,67
RCC2,ENSG00000179051,87
ARHGEF10L,ENSG00000074964,30
ALDH4A1,ENSG00000159423,3
IFFO2,ENSG00000169991,17
UBR4,ENSG00000127481,141
RP1-43E13.2,ENSG00000230424,13
EMC1,ENSG00000127463,30
MRTO4,ENSG00000053372,132
AKR7A2,ENSG00000053371,356
PQLC2,ENSG00000040487,23
CAPZB,ENSG00000077549,1500
MINOS1-NBL1,ENSG00000270136,4
MINOS1,ENSG00000173436,713
NBL1,ENSG00000158747,10
TMCO4,ENSG00000162542,31
OTUD3,ENSG00000169914,13
UBXN10-AS1,ENSG00000225986,5
UBXN10,ENSG00000162543,3
CAMK2N1,ENSG00000162545,7
MUL1,ENSG00000090432,70
CDA,ENSG00000158825,393
PINK1,ENSG00000158828,62
PINK1-AS,ENSG00000117242,22
DDOST,ENSG00000244038,508
HP1BP3,ENSG00000127483,317
RP5-930J4.4,ENSG00000203394,3
EIF4G3,ENSG00000075151,25
ECE1,ENSG00000117298,98
RP3-329E20.2,ENSG00000236936,3
NBPF3,ENSG00000142794,9
ALPL,ENSG00000162551,3
USP48,ENSG00000090686,147
HSPG2,ENSG00000142798,4
RP1-224A6.3,ENSG00000228397,4
LINC00339,ENSG00000218510,41
CDC42,ENSG00000070831,1000
ZBTB40,ENSG00000184677,43
C1QA,ENSG00000173372,36
C1QC,ENSG00000159189,5
C1QB,ENSG00000173369,17
EPHB2,ENSG00000133216,7
KDM1A,ENSG00000004487,59
LUZP1,ENSG00000169641,71
RP5-1057J7.6,ENSG00000261326,4
HNRNPR,ENSG00000125944,560
ZNF436,ENSG00000125945,6
C1orf213,ENSG00000249087,4
TCEA3,ENSG00000204219,106
E2F2,ENSG00000007968,26
ID3,ENSG00000117318,176
MDS2,ENSG00000197880,53
RPL11,ENSG00000142676,2690
TCEB3,ENSG00000011007,76
RP5-886K2.3,ENSG00000236810,33
PITHD1,ENSG00000057757,365
LYPLA2,ENSG00000011009,231
GALE,ENSG00000117308,35
HMGCL,ENSG00000117305,137
FUCA1,ENSG00000179163,102
CNR2,ENSG00000188822,20
PNRC2,ENSG00000189266,143
SRSF10,ENSG00000188529,129
IFNLR1,ENSG00000185436,8
STPG1,ENSG00000001460,27
NIPAL3,ENSG00000001461,162
RCAN3,ENSG00000117602,294
RP4-594I10.3,ENSG00000264443,20
SRRM1,ENSG00000133226,470
CLIC4,ENSG00000169504,39
RUNX3,ENSG00000020633,229
SYF2,ENSG00000117614,1017
C1orf63,ENSG00000117616,490
RP3-465N24.6,ENSG00000272432,6
TMEM50A,ENSG00000183726,716
TMEM57,ENSG00000204178,69
LDLRAP1,ENSG00000157978,338
RP11-70P17.1,ENSG00000225643,27
MAN1C1,ENSG00000117643,24
RP1-187B23.1,ENSG00000233478,24
SEPN1,ENSG00000162430,40
RP1-317E23.3,ENSG00000228172,3
MTFR1L,ENSG00000117640,136
AL020996.1,ENSG00000223474,3
PAQR7,ENSG00000182749,3
STMN1,ENSG00000117632,196
PAFAH2,ENSG00000158006,31
PDIK1L,ENSG00000175087,30
ZNF593,ENSG00000142684,167
CNKSR1,ENSG00000142675,4
CEP85,ENSG00000130695,19
SH3BGRL3,ENSG00000142669,2314
UBXN11,ENSG00000158062,211
CD52,ENSG00000169442,2409
AIM1L,ENSG00000176092,10
ZNF683,ENSG00000176083,39
DHDDS,ENSG00000117682,48
HMGN2,ENSG00000198830,260
RPS6KA1,ENSG00000117676,236
ARID1A,ENSG00000117713,178
PIGV,ENSG00000060642,47
ZDHHC18,ENSG00000204160,42
GPN2,ENSG00000142751,82
GPATCH3,ENSG00000198746,48
NUDC,ENSG00000090273,584
C1orf172,ENSG00000175707,9
TRNP1,ENSG00000253368,4
SLC9A1,ENSG00000090020,35
WDTC1,ENSG00000142784,73
TMEM222,ENSG00000186501,167
SYTL1,ENSG00000142765,455
MAP3K6,ENSG00000142733,43
WASF2,ENSG00000158195,525
RP1-159A19.4,ENSG00000237429,8
AHDC1,ENSG00000126705,24
FGR,ENSG00000000938,575
IFI6,ENSG00000126709,1082
FAM76A,ENSG00000009780,33
STX12,ENSG00000117758,178
PPP1R8,ENSG00000117751,159
THEMIS2,ENSG00000130775,316
RPA2,ENSG00000117748,490
XKR8,ENSG00000158156,75
EYA3,ENSG00000158161,30
PTAFR,ENSG00000169403,77
DNAJC8,ENSG00000126698,588
AL353354.2,ENSG00000269804,8
ATPIF1,ENSG00000130770,840
RP5-1092A3.4,ENSG00000270605,16
SESN2,ENSG00000130766,25
MED18,ENSG00000130772,18
PHACTR4,ENSG00000204138,100
RCC1,ENSG00000180198,55
TRNAU1AP,ENSG00000180098,141
SNHG12,ENSG00000197989,140
TAF12,ENSG00000120656,380
RP11-442N24__B.1,ENSG00000229388,5
RNU11,ENSG00000270103,4
GMEB1,ENSG00000162419,84
YTHDF2,ENSG00000198492,337
EPB41,ENSG00000159023,170
TMEM200B,ENSG00000253304,3
SRSF4,ENSG00000116350,364
MECR,ENSG00000116353,52
MATN1,ENSG00000162510,3
MATN1-AS1,ENSG00000186056,28
LAPTM5,ENSG00000162511,2126
PUM1,ENSG00000134644,89
SNRNP40,ENSG00000060688,323
ZCCHC17,ENSG00000121766,203
SERINC2,ENSG00000168528,18
PEF1,ENSG00000162517,274
SPOCD1,ENSG00000134668,3
PTP4A2,ENSG00000184007,644
KHDRBS1,ENSG00000121774,658
TMEM39B,ENSG00000121775,77
KPNA6,ENSG00000025800,111
TXLNA,ENSG00000084652,36
CCDC28B,ENSG00000160050,116
TMEM234,ENSG00000160055,51
EIF3I,ENSG00000084623,857
FAM167B,ENSG00000183615,4
LCK,ENSG00000182866,970
HDAC1,ENSG00000116478,421
MARCKSL1,ENSG00000175130,493
FAM229A,ENSG00000225828,14
BSDC1,ENSG00000160058,198
ZBTB8A,ENSG00000160062,3
ZBTB8OS,ENSG00000176261,209
RBBP4,ENSG00000162521,298
SYNC,ENSG00000162520,35
YARS,ENSG00000134684,134
S100PBP,ENSG00000116497,82
RNF19B,ENSG00000116514,37
AK2,ENSG00000004455,263
ADC,ENSG00000142920,14
TRIM62,ENSG00000116525,16
ZNF362,ENSG00000160094,34
PHC2,ENSG00000134686,45
SMIM12,ENSG00000163866,317
DLGAP3,ENSG00000116544,17
RP11-244H3.4,ENSG00000271741,68
ZMYM6NB,ENSG00000243749,6
ZMYM6,ENSG00000163867,35
ZMYM1,ENSG00000197056,24
SFPQ,ENSG00000116560,470
ZMYM4,ENSG00000146463,38
KIAA0319L,ENSG00000142687,106
NCDN,ENSG00000020129,28
RP4-728D4.2,ENSG00000239636,84
TFAP2E,ENSG00000116819,5
PSMB2,ENSG00000126067,582
C1orf216,ENSG00000142686,42
CLSPN,ENSG00000092853,10
AGO4,ENSG00000134698,30
AGO1,ENSG00000092847,47
RP4-789D17.5,ENSG00000271914,4
AGO3,ENSG00000126070,68
ADPRHL2,ENSG00000116863,139
TRAPPC3,ENSG00000054116,441
MAP7D1,ENSG00000116871,207
THRAP3,ENSG00000054118,306
SH3D21,ENSG00000214193,4
EVA1B,ENSG00000142694,23
STK40,ENSG00000196182,92
LSM10,ENSG00000181817,570
OSCP1,ENSG00000116885,5
MRPS15,ENSG00000116898,445
CSF3R,ENSG00000119535,311
LINC01137,ENSG00000233621,26
ZC3H12A,ENSG00000163874,71
MEAF6,ENSG00000163875,737
SNIP1,ENSG00000163877,9
GNL2,ENSG00000134697,138
C1orf109,ENSG00000116922,53
CDCA8,ENSG00000134690,3
YRDC,ENSG00000196449,120
C1orf122,ENSG00000197982,212
MTF1,ENSG00000188786,66
INPP5B,ENSG00000204084,35
SF3A3,ENSG00000183431,257
FHL3,ENSG00000183386,118
UTP11L,ENSG00000183520,124
RRAGC,ENSG00000116954,158
RP5-864K19.4,ENSG00000228436,9
MYCBP,ENSG00000214114,157
AKIRIN1,ENSG00000174574,335
NDUFS5,ENSG00000168653,1072
MACF1,ENSG00000127603,236
KIAA0754,ENSG00000255103,14
RP11-69E11.4,ENSG00000182109,7
PABPC4,ENSG00000090621,361
HPCAL4,ENSG00000116983,17
PPIE,ENSG00000084072,325
TRIT1,ENSG00000043514,36
MYCL,ENSG00000116990,50
MFSD2A,ENSG00000168389,6
CAP1,ENSG00000131236,1111
PPT1,ENSG00000131238,516
RLF,ENSG00000117000,41
RP1-39G22.7,ENSG00000259943,67
ZMPSTE24,ENSG00000084073,81
COL9A2,ENSG00000049089,23
SMAP2,ENSG00000084070,434
ZFP69B,ENSG00000187801,8
ZFP69,ENSG00000187815,26
RP11-656D10.3,ENSG00000238287,3
EXO5,ENSG00000164002,15
ZNF684,ENSG00000117010,31
RIMS3,ENSG00000117016,3
NFYC-AS1,ENSG00000272145,20
NFYC,ENSG00000066136,234
CITED4,ENSG00000179862,87
CTPS1,ENSG00000171793,63
SLFNL1,ENSG00000171790,4
SCMH1,ENSG00000010803,23
HIVEP3,ENSG00000127124,57
FOXJ3,ENSG00000198815,90
PPCS,ENSG00000127125,514
CCDC30,ENSG00000186409,14
PPIH,ENSG00000171960,252
YBX1,ENSG00000065978,2193
LEPRE1,ENSG00000117385,57
C1orf50,ENSG00000164008,149
CCDC23,ENSG00000177868,326
ERMAP,ENSG00000164010,19
RP11-342M1.3,ENSG00000228192,3
ZNF691,ENSG00000164011,27
SLC2A1,ENSG00000117394,45
SLC2A1-AS1,ENSG00000227533,3
EBNA1BP2,ENSG00000117395,228
WDR65,ENSG00000243710,3
RP1-92O14.3,ENSG00000234694,7
CDC20,ENSG00000117399,5
ELOVL1,ENSG00000066322,197
MED8,ENSG00000159479,229
SZT2,ENSG00000198198,45
HYI,ENSG00000178922,33
KDM4A,ENSG00000066135,40
KDM4A-AS1,ENSG00000236200,5
ST3GAL3,ENSG00000126091,26
IPO13,ENSG00000117408,24
DPH2,ENSG00000132768,47
ATP6V0B,ENSG00000117410,911
CCDC24,ENSG00000159214,14
DMAP1,ENSG00000178028,168
ERI3,ENSG00000117419,175
RNF220,ENSG00000187147,113
TMEM53,ENSG00000126106,27
C1orf228,ENSG00000198520,188
KIF2C,ENSG00000142945,3
RPS8,ENSG00000142937,2665
BEST4,ENSG00000142959,8
PLK3,ENSG00000173846,196
BTBD19,ENSG00000222009,3
PTCH2,ENSG00000117425,20
EIF2B3,ENSG00000070785,98
HECTD3,ENSG00000126107,25
UROD,ENSG00000126088,227
HPDL,ENSG00000186603,7
MUTYH,ENSG00000132781,80
TOE1,ENSG00000132773,44
TESK2,ENSG00000070759,11
CCDC163P,ENSG00000236624,3
PRDX1,ENSG00000117450,822
AKR1A1,ENSG00000117448,398
NASP,ENSG00000132780,280
GPBP1L1,ENSG00000159592,200
TMEM69,ENSG00000159596,135
IPP,ENSG00000197429,41
MAST2,ENSG00000086015,13
PIK3R3,ENSG00000117461,9
POMGNT1,ENSG00000085998,54
LRRC41,ENSG00000132128,118
UQCRH,ENSG00000173660,1222
NSUN4,ENSG00000117481,41
FAAH,ENSG00000117480,68
MKNK1,ENSG00000079277,114
MOB3C,ENSG00000142961,52
ATPAF1,ENSG00000123472,158
EFCAB14,ENSG00000159658,148
PDZK1IP1,ENSG00000162366,6
TAL1,ENSG00000162367,3
CMPK1,ENSG00000162368,1005
RP11-511I2.2,ENSG00000225762,3
FOXD2-AS1,ENSG00000237424,3
FOXD2,ENSG00000186564,3
SPATA6,ENSG00000132122,18
BEND5,ENSG00000162373,44
FAF1,ENSG00000185104,104
CDKN2C,ENSG00000123080,62
RNF11,ENSG00000123091,173
EPS15,ENSG00000085832,183
OSBPL9,ENSG00000117859,145
NRD1,ENSG00000078618,212
TXNDC12,ENSG00000117862,480
KTI12,ENSG00000198841,88
BTF3L4,ENSG00000134717,320
ZFYVE9,ENSG00000157077,3
CC2D1B,ENSG00000154222,27
ORC1,ENSG00000085840,6
PRPF38A,ENSG00000134748,277
ZCCHC11,ENSG00000134744,161
GPX7,ENSG00000116157,118
FAM159A,ENSG00000182183,152
COA7,ENSG00000162377,13
ZYG11B,ENSG00000162378,58
ECHDC2,ENSG00000121310,149
SCP2,ENSG00000116171,735
PODN,ENSG00000174348,3
SLC1A7,ENSG00000162383,11
CPT2,ENSG00000157184,58
C1orf123,ENSG00000162384,267
RP5-1024G6.7,ENSG00000259818,8
MAGOH,ENSG00000162385,477
RP4-784A16.5,ENSG00000225675,3
RP11-117D22.2,ENSG00000230138,15
NDC1,ENSG00000058804,27
YIPF1,ENSG00000058799,89
HSPB11,ENSG00000081870,190
LRRC42,ENSG00000116212,50
TMEM59,ENSG00000116209,1066
TCEANC2,ENSG00000116205,24
CYB5RL,ENSG00000215883,6
MRPL37,ENSG00000116221,184
SSBP3,ENSG00000157216,85
ACOT11,ENSG00000162390,8
TTC4,ENSG00000243725,4
PARS2,ENSG00000162396,7
TTC22,ENSG00000006555,23
C1orf177,ENSG00000162398,3
DHCR24,ENSG00000116133,10
USP24,ENSG00000162402,78
DAB1,ENSG00000173406,4
OMA1,ENSG00000162600,69
MYSM1,ENSG00000162601,44
JUN,ENSG00000177606,1992
LINC01135,ENSG00000234807,17
RP4-794H19.1,ENSG00000232453,3
FGGY,ENSG00000172456,17
HOOK1,ENSG00000134709,8
CYP2J2,ENSG00000134716,3
NFIA,ENSG00000162599,12
TM2D1,ENSG00000162604,204
INADL,ENSG00000132849,61
L1TD1,ENSG00000240563,6
USP1,ENSG00000162607,164
DOCK7,ENSG00000116641,5
ATG4C,ENSG00000125703,87
ALG6,ENSG00000088035,70
ITGB3BP,ENSG00000142856,24
EFCAB7,ENSG00000203965,9
DLEU2L,ENSG00000116652,6
PGM1,ENSG00000079739,97
RAVER2,ENSG00000162437,4
JAK1,ENSG00000162434,535
AK4,ENSG00000162433,4
LEPR,ENSG00000116678,7
LEPROT,ENSG00000213625,203
PDE4B,ENSG00000184588,114
MIER1,ENSG00000198160,107
SLC35D1,ENSG00000116704,22
IL23R,ENSG00000162594,14
IL12RB2,ENSG00000081985,9
SERBP1,ENSG00000142864,926
GADD45A,ENSG00000116717,101
WLS,ENSG00000116729,8
LRRC7,ENSG00000033122,10
LRRC40,ENSG00000066557,55
SRSF11,ENSG00000116754,661
ANKRD13C,ENSG00000118454,60
HHLA3,ENSG00000197568,41
CTH,ENSG00000116761,3
ZRANB2,ENSG00000132485,244
LRRIQ3,ENSG00000162620,9
FPGT,ENSG00000254685,35
CRYZ,ENSG00000116791,75
TYW3,ENSG00000162623,74
ACADM,ENSG00000117054,213
RABGGTB,ENSG00000137955,234
ST6GALNAC3,ENSG00000184005,7
PIGK,ENSG00000142892,79
AK5,ENSG00000154027,60
ZZZ3,ENSG00000036549,60
USP33,ENSG00000077254,122
FAM73A,ENSG00000180488,46
NEXN,ENSG00000162614,26
FUBP1,ENSG00000162613,179
DNAJB4,ENSG00000162616,17
RP11-386I14.4,ENSG00000273338,26
IFI44L,ENSG00000137959,711
IFI44,ENSG00000137965,295
RP5-887A10.1,ENSG00000234184,36
RP11-475O6.1,ENSG00000233008,6
RP11-486G15.2,ENSG00000271576,6
PRKACB,ENSG00000142875,126
RPF1,ENSG00000117133,336
GNG5,ENSG00000174021,790
CTBS,ENSG00000117151,161
SSX2IP,ENSG00000117155,11
MCOLN2,ENSG00000153898,25
MCOLN3,ENSG00000055732,5
SYDE2,ENSG00000097096,7
C1orf52,ENSG00000162642,165
BCL10,ENSG00000142867,102
RP11-131L23.1,ENSG00000223653,9
ZNHIT6,ENSG00000117174,40
ODF2L,ENSG00000122417,329
RP4-612B15.3,ENSG00000261737,20
SH3GLB1,ENSG00000097033,379
SEP15,ENSG00000183291,793
HS2ST1,ENSG00000153936,45
LMO4,ENSG00000143013,205
PKN2,ENSG00000065243,89
GTF2B,ENSG00000137947,265
CCBL2,ENSG00000137944,145
RBMXL1,ENSG00000213516,133
GBP3,ENSG00000117226,88
GBP1,ENSG00000117228,287
GBP2,ENSG00000162645,525
GBP4,ENSG00000162654,150
GBP5,ENSG00000154451,203
LRRC8B,ENSG00000197147,28
RP5-1007M22.2,ENSG00000231999,25
LRRC8C,ENSG00000171488,76
RP5-943J3.2,ENSG00000272931,9
LRRC8D,ENSG00000171492,89
ZNF326,ENSG00000162664,80
ZNF644,ENSG00000122482,76
CDC7,ENSG00000097046,9
TGFBR3,ENSG00000069702,49
BTBD8,ENSG00000189195,7
KIAA1107,ENSG00000069712,3
GLMN,ENSG00000174842,86
RPAP2,ENSG00000122484,84
GFI1,ENSG00000162676,28
EVI5,ENSG00000067208,32
RPL5,ENSG00000122406,2615
FAM69A,ENSG00000154511,52
MTF2,ENSG00000143033,225
TMED5,ENSG00000117500,244
CCDC18,ENSG00000122483,78
DR1,ENSG00000117505,320
FNBP1L,ENSG00000137942,3
RP4-561L24.3,ENSG00000260464,3
DNTTIP2,ENSG00000067334,289
GCLM,ENSG00000023909,121
ARHGAP29,ENSG00000137962,10
ABCD3,ENSG00000117528,74
CNN3,ENSG00000117519,18
ALG14,ENSG00000172339,32
RWDD3,ENSG00000122481,14
PTBP2,ENSG00000117569,20
DPYD,ENSG00000188641,115
AGL,ENSG00000162688,42
RP5-884G6.2,ENSG00000228084,3
SLC35A3,ENSG00000117620,76
HIAT1,ENSG00000156875,109
SASS6,ENSG00000156876,40
TRMT13,ENSG00000122435,97
DBT,ENSG00000137992,31
RTCA,ENSG00000137996,203
CDC14A,ENSG00000079335,91
EXTL2,ENSG00000162694,22
RP4-549L20.3,ENSG00000273204,4
SLC30A7,ENSG00000162695,98
DPH5,ENSG00000117543,208
AC093157.1,ENSG00000269175,7
RP11-421L21.2,ENSG00000235795,5
RP11-421L21.3,ENSG00000233184,53
RP4-575N6.4,ENSG00000225938,30
S1PR1,ENSG00000170989,88
RNPC3,ENSG00000185946,70
AMY2B,ENSG00000240038,11
PRMT6,ENSG00000198890,21
VAV3,ENSG00000134215,37
VAV3-AS1,ENSG00000230489,6
RP11-356N1.2,ENSG00000226822,3
SLC25A24,ENSG00000085491,132
RP11-483I13.5,ENSG00000260879,6
FAM102B,ENSG00000162636,16
HENMT1,ENSG00000162639,122
PRPF38B,ENSG00000134186,438
STXBP3,ENSG00000116266,109
GPSM2,ENSG00000121957,10
CLCC1,ENSG00000121940,38
WDR47,ENSG00000085433,13
TAF13,ENSG00000197780,18
RP5-1065J22.8,ENSG00000273382,21
TMEM167B,ENSG00000215717,166
KIAA1324,ENSG00000116299,16
SARS,ENSG00000031698,377
CELSR2,ENSG00000143126,3
PSRC1,ENSG00000134222,13
SORT1,ENSG00000134243,25
PSMA5,ENSG00000143106,722
ATXN7L2,ENSG00000162650,13
CYB561D1,ENSG00000174151,51
AMIGO1,ENSG00000181754,6
GPR61,ENSG00000156097,3
GNAI3,ENSG00000065135,386
AMPD2,ENSG00000116337,154
GSTM4,ENSG00000168765,24
GSTM2,ENSG00000213366,24
GSTM1,ENSG00000134184,22
GSTM3,ENSG00000134202,73
CSF1,ENSG00000184371,10
AHCYL1,ENSG00000168710,102
STRIP1,ENSG00000143093,63
RP4-773N10.4,ENSG00000258634,3
KCNC4,ENSG00000116396,3
RBM15,ENSG00000162775,31
SLC16A4,ENSG00000168679,14
RP5-1074L1.4,ENSG00000273373,5
LAMTOR5-AS1,ENSG00000224699,5
LAMTOR5,ENSG00000134248,752
RP11-284N8.3,ENSG00000259834,18
KCNA3,ENSG00000177272,91
CD53,ENSG00000143119,1460
RP11-96K19.2,ENSG00000232811,5
LRIF1,ENSG00000121931,111
RP11-96K19.5,ENSG00000273010,7
DRAM2,ENSG00000156171,435
CEPT1,ENSG00000134255,153
RP5-1180E21.5,ENSG00000273221,44
DENND2D,ENSG00000162777,433
CHI3L2,ENSG00000064886,108
PIFO,ENSG00000173947,4
OVGP1,ENSG00000085465,4
WDR77,ENSG00000116455,162
ATP5F1,ENSG00000116459,998
C1orf162,ENSG00000143110,1034
ADORA3,ENSG00000121933,3
RAP1A,ENSG00000116473,873
FAM212B,ENSG00000197852,12
DDX20,ENSG00000064703,44
CTTNBP2NL,ENSG00000143079,5
WNT2B,ENSG00000134245,3
ST7L,ENSG00000007341,78
CAPZA1,ENSG00000116489,457
MOV10,ENSG00000155363,40
RP11-426L16.3,ENSG00000225075,5
RHOC,ENSG00000155366,501
PPM1J,ENSG00000155367,5
SLC16A1,ENSG00000155380,28
SLC16A1-AS1,ENSG00000226419,8
RP11-389O22.1,ENSG00000236066,4
LRIG2,ENSG00000198799,29
MAGI3,ENSG00000081026,4
PHTF1,ENSG00000116793,75
RSBN1,ENSG00000081019,206
PTPN22,ENSG00000134242,97
AP4B1-AS1,ENSG00000226167,7
BCL2L15,ENSG00000188761,3
AP4B1,ENSG00000134262,46
DCLRE1B,ENSG00000118655,18
RP5-1073O3.7,ENSG00000235527,66
HIPK1,ENSG00000163349,111
TRIM33,ENSG00000197323,91
BCAS2,ENSG00000116752,431
DENND2C,ENSG00000175984,6
NRAS,ENSG00000213281,79
CSDE1,ENSG00000009307,815
SIKE1,ENSG00000052723,123
TSPAN2,ENSG00000134198,63
VANGL1,ENSG00000173218,6
SLC22A15,ENSG00000163393,4
ATP1A1,ENSG00000163399,523
AL136376.1,ENSG00000269279,4
CD58,ENSG00000116815,148
CD2,ENSG00000116824,856
CD101,ENSG00000134256,25
TTF2,ENSG00000116830,27
MAN1A2,ENSG00000198162,83
FAM46C,ENSG00000183508,119
GDAP2,ENSG00000196505,39
WDR3,ENSG00000065183,40
WARS2,ENSG00000116874,33
RP11-418J17.1,ENSG00000231365,15
PHGDH,ENSG00000092621,20
REG4,ENSG00000134193,16
NOTCH2,ENSG00000134250,129
RP11-114O18.1,ENSG00000273406,4
FAM72B,ENSG00000188610,7
